NAME,DESCRIPTION,Name_cluster,Desc_cluster,
CCH CorpSystem ZIPproduct Manager - Sales and Use Tax Load Utility,The CCH ZIPproduct Manager is used for Sales and Consumer use tax processes. It improves the accuracy of sales and use tax calculations and reduces audit risk with Sales Tax Rates. The Sales Tax Rates file is downloaded via import program from CCH ZIPproduct Manager website to Allstate NAS share and then exported to mainframe to be leveraged by Sales and Use Tax application (custom built). No information is transmitted from Allstate to CCH. This is BarometerIT clean-up request as the original P2A is not found.,1,,N/A
CCURE 9000,"C-CURE is a Security Management System (SMS) that is a powerful, flexible, multi-function and object-oriented security and event management system that features a variety of customizable interfaces.",31,0,
CDO Monitor v6.0.1,"As Collateral Manager for AIMCO CLO, Series 2014-A, we are mandated by a legal document called an Indenture as to what we are responsible for and obligated to do and not to do. Within this document it states we must run S&P CDO Monitor to ensure the CLO is within the designated margins determined within the Indenture.",32,0,
Changepoint v16,Changepoint PPM software is a fully integrated IT portfolio management solution covering the full portfolio investment ifecycle.,33,,
Checkfree Reconcile Securities,Used to reconcile asset positions between Allstate and our custodial banks,34,,
Chrome for Business,"Googleâ€™s â€œChrome for Businessâ€ is an offering of the Chrome Web browser that is designed for corporate customers. It provides a distinct delivery channel with releases limited to 4 month intevals as well as tools for packaging and policy enforcement (ex. block auto updates, block access to Chrome Store, etc.)",35,,
CMM (Commercial Mortgage Metrics),Vended commercial mortgage risk tool,36,,
COLOSSUS (Vended App),"Colossus provides adjusters access to Allstate's claims data within a defined Business Process Management framework for evaluating injuries, treatment, resolution, impairment and general damage settlements. Colossus helps adjusters reduce variance in payouts on similar bodily injury claims.",37,,
Concur Travel,The Concur booking tool makes business travel a snapâ€”starting with customized options that align with your company policies.,38,0,
Connexus - Policy Decisions,"Insurance Decisions provides a full range of commercial policy administration functionality, from clearance to issuance, out-of-sequence endorsements to renewal processing, bureau rates and forms to financial and statistical reporting.",39,0,
Crump,"Externally hosted, managed website used by AFS producers selling multiple carrier products (e.g. Long Term Care, other Life risk products)",40,0,
CSC (Diligenz),Corporation Service Company â€“ used for UCC filings,1,,
CWS - Client Work Station,(Fiserv) Legacy bank application handles check images.,41,0,
CyberLife,CyberLife gives organizations a competitive edge by reducing costs improving productivity and accelerating speed to market for new products.,42,0,
Cyberlife 1201 Browser,As part of the Cyberlife upgrade (2101) it comes with a new Browser that will allow us to replace the current nonsupported SmalTalk GUI being used by the business.,1,,
D+H Customer Care Center,D+H (Harland) Customer Care Center ticketing system,43,,N/A
DataTrax,External provider of state apppointments for agent licensing,44,,
Diligent Boardbooks,"Diligent BoardbooksÂ® is the only electronic board portal that looks like a book and works like a book â€“ or in the case of the iPad app, like an e-book. Boardbooks helps improve governance by facilitating communications and enabling a timely view of current and historic company information",1,,N/A
Docupace MS Office Integration Add-Ons,"Docupace has created a COM DLL component that integrates with MS Office Outlook, Word and Excel.",45,,
Dragon Designer Tool v5.1.2.2,"Vendor development tool used to configure aspects of the Dragon application, including workflow, product-definition, and object model, as well as interfaces to legacy and third-party systems.",46,,
DST Vision,"Externally hosted, DST VisionÂ® is the preferred destination used by financial intermediaries for one-stop access to customer account information from mutual fund and variable annuity companies, as well as direct participation programs such as non-traded real estate investment trusts (REITs). most widely used web-based account aggregation sources for advisors and broker-dealers.",47,,
e5 Cash Management Suite for SAP ERP,"The e5 Cash Management Suite includes e5 Payment Memo Engine, the e5 Bank Balance Analyzer and the e5 Bank Polling Monitor. The focus of this bundle of add-ons to the SAP Cash Management application allows the cash manager to decouple the SAP cash position from the SAP GL balances and to easily manage cash on an available balance basis while still maintaining accurate GL balances.",48,,
Eagle ACCESS,Reference Data Store and Data Hub,49,0,N/A
Eagle PACE,Reference Data Store and Data Hub,50,0,N/A
Eagle Performance,Eagle Performance is a vended service that does Investments Performance Measurement calculations and reporting,50,,N/A
Eagle Recon Center v12.1.1,"Recon Center helps gain visibility and control by providing real-time matching, reconciliation, and exception processing on a single platform. The Operations can research and take action to correct differences between multiple custodians and internal accounting systems.",50,,
Earnix Optimizer,"Earnix Optimizerâ„¢â€™s Price Optimization platform enables insurers to model customer demand, impose complex business goals and regulatory requirements, evaluate alternative pricing decisions and executethe selected plan.",50,0,
EDI/HQ v3.2.4,The EDI/HQ software solution provides control over the entire process of setting up EDI mapping and processing of inbound/outbound transactions,51,,N/A
EFI AutoCount v13.1.1.4,"Pulls MI information direct from various print associated devices (Printers, Stitchers, ..)?",52,,
EFI Metrix,Provides rules-based productivity to reduce planning and prepress labor costs for the printing processes,53,0,
EFI Pace - Print MIS Management Software v26.0,"EFI Pace is a Management Information System for the print and mail industry to estimate, plan, and schedule work throughout the department. Replacing EFI ESI.",53,,
EFI Pace - Print MIS Management Software v27,"EFI Pace is a Management Information System for the print and mail industry to estimate, plan, and schedule work throughout the department. Replacing EFI PSI.",53,0,N/A
EFI Plant Manager v13.1.1.4,"Bridging software that pulls MI information regarding APCC print devices, via its partner AutoCount. Data is held in an MI database and Plant Manager thus provides access to EFI Pace to that information",53,0,
Employee Management Group Module,Tool is leveraged to allow Employee Resource Groups to enter the projects that they are working on.,53,0,
EMSI,"Externally hosted,Examination Management Services, Inc. (EMSI) provides medical information, risk management and investigative services to the insurance, healthcare, legal, wellness and business communities. We empower our customers with comprehensive information to help them make informed decisions and improve the lives of those they serve..",54,0,N/A
EOS.Web Legal Cloud,"Providing Legal Librarians the Ultimate Tools for Success With EOS.Web Legal, legal libraries benefit from a full-service suite of functionalities designed to streamline your law library management responsibilities. Each feature is intuitively integrated to offer a library automation solution that saves you time and resources, bringing your library the kind of efficiency that your entire firm will notice.",1,,
EPI-USE for SAP,"The inlcuded products: Object Sync - Data is on demand for QA and training â€“ without needing downtime or basis involvement, the sensitive data is protected across the landscape, flexibility to copy only specific transactions and related master data from multiple modules. Data Secure - comprehensive protection solution that comes with pre-defined masking rules. With these rules you can scramble any non-key field in SAP table in a number of different ways (e.g. mapping table look up, constant value, clear a field). Query Manager for HCM Variance Monitor for HCM Pay Recon for HCM - reconciliation instrument for proactive balancing of SAPÂ® HCM and FI transactions, third-party postings and W-2 and 941 tax reporting.",55,,N/A
Epic Online,"Epic is a new broker management system with updated architecture and functionality. It would used to capture data from the broker's separate broker management system into our legacy policy system, PLUS",56,,
ESSBase,A decision support tool originally from Hyperion that is optimized for business planning,57,0,
Exam One,"Externally hosted, Vended, Evidence Provider, Exam One is used by underwriting and new business and AFS producers for medical exams.",1,,
Express Lync4,"WebServices and UserInterface that allows users to obtain prefill information on properties, collect property characterisctics and calculate replacement cost.",58,,
External Collection Agency Responsible for Claims,External Vendor doing Credit Collection for Claims Credit and Policy Premium Outstanding Collections,59,,N/A
Exterro Fusion Platform,"Fusion Legal Hold enables users to institute a repeatable legal hold process, manage enterprise custodians and data sources, plan, perform and track communications with Record Managers, and streamline collection workflow.",60,,
EZLynx v4.0,EZ Lynx is a comparative rator. Comparative Rators provide Independent Agents the ability to request quotes form multiple carriers.,61,,N/A
Fieldglass,Fieldglass is a web-based tool used for ordering and tracking contingent labor.,62,0,
Fiserv Collaborative Care Center (C3),vendor ticketing system (Fiserv),1,,
Fiserv Signature,"Loan Admin system for Allstate Finance Company (AFC). Includes: CBS Desktop, CBS plus, on-line report writing, bank back office document managing services, integrated voice system, IP and much more",63,,
Forte Parts and Labor,Parts & Labor Data Base for Vehicle Service Contract (VSC) Claims,63,,
FSITrack,"FSITrack is an unclaimed property management system that allows companies to comprehensively track, organize and report their unclaimed property as mandated by state requirements",64,,
Genesta Bar Coding & Data Collection,An existing product used in the OPC to provide stock management functionality.,1,,
Geotax for z/OS v6.1,Geotax is a mainframe software product which assigns municipal tax rates in the state of Kentucky.,65,,
Global Labor View (GLV),"Global LaborView (GLV), is a web-enabled application that synthesizes labor and real estate market intelligence on a unique interactive platform. The system provides fingertip access to quickly assess macro site selection factors throughout the Americas, Europe, Middle East, Africa and Asia Pacific. http://www.cbre.com/glv",66,,N/A
Global One,A real-time administration and management tool for international and domestic securities lending programmes.,67,0,
GoldWave v5.7,"Goldwave is a highly rated, professional digital audio editor. It's fully loaded to do everything from the simplest recording and editing to the most sophisticated audio processing, restoration, enhancements, and conversions?",67,,
Good Hands News Newsletter,"Supplier designed, developed content, and programed the Allstate corporate customer newsletter",68,0,
Harland OpenPath,OpenPathÂ® is a interface application developed by D+H (formerly Harland Financial Solutions) based on MicrosoftÂ® WindowsÂ® Communication Foundation technology.,69,,
HotDocs,"HotDocs document automation and assembly transforms structured documents (sales agreements, proposals, applications, contracts, court forms) into process templates that enable easy insertion of variables and embedding of business logic into document preparation and generation.",70,,
IMB PBAS - Intelligent Mail Barcode Postal Barcode & Address Standardization,Address Correction product - haqndles postal barcodes & address standardization,1,,
Infomaker v12.5,Financial reporting tool connecting to Maximis and DW databases,71,0,
ING Presents 2,ING Presents 2 is annuity illustration software from made available by ING for the illustrating Allstate-approved products?. It will be used by Allstate NY agents wishing to illustrate Allstate-approved products.,72,,
Initiate MDM Service,"Initiate Master Data Service(TM), which is a comprehensive master data management (MDM) platform that delivers single, trusted and complete versions of critical data assets in real-time to the people, processes and applications that rely on them",73,,N/A
InRule v4.x (AB),.NET Macro Level Knowledgebase System that helps automate macro level knowledgebase logic.,74,,
Integrated Actuarial Services,Integrated Actuarial Services is a set of programs purchased by Allstate Financial several years ago. This DOS-based system performs reserve calculations for certain Allstate Financial life products and is used in the production financial close process.,75,,
Intex,This is both a desktop application and a feed. Risk and duration data that gets downloaded by batch jobs.,76,,N/A
Investments Informatica,Investments Informatica Instance,1,,
iPartners Reporting Services,iPartners is an actuarial report generation company. They aggregate raw data and provide dashboards for management to manage the business.,77,0,N/A
ISACS - Ivantage Select Agency Commission System,Calculate ISA commissions (multiple vendors) for Allstate Agents,78,,
IVANS Transfer Manager,This product is supplied by IVANS to transfer files containing Accord policy info to IVANS Mailbox. Independent Agents AMS systems downloads these files from IVANS Mailbox.,79,0,
Kofax Analytics for Capture v1.1,Detailed dashboards for RealTime reporting of queues and coumetns within the Kofax capture product - and integration with other data stores to provide comprehensive document analytics?.,80,0,N/A
Kofax Capture v10.0,solution utilizes a series of modules to perform specific functions in the automated capture process,81,,
Kofax Capture v8.0,solution utilizes a series of modules to perform specific functions in the automated capture process,81,,
Kofax Capture v9.0,solution utilizes a series of modules to perform specific functions in the automated capture process,81,,
Kofax Communication Server Plug-in v9.1,"The Kofax Communication Server, coordinates and performs the automated exchange of information by integrating inbound and outbound communication channels. It links virtually any device such as MFPs and phone systems, media types like email, fax, SMS, MMS, voicemail",81,,N/A
Kofax Communication Server v9.2,Allows the receipt and processing of emails extracting key information and submitting on into NextGen via web service calls,81,,
MailChimp,MailChimp provides the ability to manage email campaigns and provide reporting on the success of those campaigns.,81,0,N/A
MapPoint 2013,"Desktop mapping software used to visualize sales, competitor, and customer data to make better business decisions and communicate product distribution and sales opportunities.",1,,N/A
MapQuest,"AMC wish to evaluate MapQuest as an alternative to Bing, in order to address numerous performance / functionality issues within Bing. They also wish to explore the possibility of having MapQuest as a failover option should there be a Bing outage (or vice versa) as they have been exposed by this in the past.",82,,
Matlab,MATLAB is a multi-paradigm numerical computing environment and fourth-generation programming language. Programming IDE used for analytics and other functions. MATLAB is intended primarily for numerical computing.,1,,
Matlab v2013a,MATLAB is a multi-paradigm numerical computing environment and fourth-generation programming language. Programming IDE used for analytics and other functions. MATLAB is intended primarily for numerical computing.,1,0,
MAXIMIS,Investment Accounting for the insurance industry,83,,
MediaBin v7.2,"A digital asset management solution, used to manage, distribute and publish rich media assets in a web environment.",1,,N/A
MediaBin v8.x,HP/Autonomy Media Bin provides rich digital asset managment governance. Currently focusing on video and image assets.,84,,
MediaStar Evolution Administrator v4.7,Admin software suite for managing MediaStar hubs.,84,,N/A
MIB,"Not an app, a vended web service, coupled with LUS to communicate with MIB ((formerly The Medical Information Bureau a cooperative data exchange).",85,,
Microsoft Dynamics CRM 2013,"a customer relationship management software package developed by Microsoft. Out of the box, the product focuses mainly on Sales, Marketing, and Service (help desk) sectors, but Microsoft has been marketing Dynamics CRM as an XRM platform and has been encouraging partners to use its proprietary (.NET based) framework to customize it to meet many different demands.",1,,
Mira,MIRA is a commercial real estate analytics application that provides loan and security valuation.,86,0,
Mitratech Collaborati Spend Management,"As part of the TeamConnect v3.3 manages e-billing and collaboration with outside vendors by combining a module for legal departments with a connected product for external vendors (law firms, etc.) Collaborati Spend Management (CSM) is the module on TeamConnect used by our clients, and Collaborati is the browser-based product used by external vendors. These products work together to support complete outside counsel management, from e-billing to collaborative budgeting and document sharing.",1,,N/A
Mitratech Service of Process Manager,"TeamConnect SOP Manager automates and manages your Service of Process to ensure that all legal notices are immediately processed, checked for errors, and automatically routed to the appropriate in-house and outside counsel.",87,,
MoSes HPC v6.6.x,MoSes is vended package from Towers Watson used by Allstate Financial Modeling team for actuarial modeling.,87,,N/A
MoSes v6.x,MoSes is vended package from Towers Watson used by Allstate Financial Modeling team for actuarial modeling. It runs on the grid environment and many actuaries run it on their own PC.,88,,N/A
MyPreferences - Customer Preference Center,"Possible Now - MyPreferences provides a platform for presenting and managing customer preferences across multiple touch points with customers, agents, and customer representatives.",88,,
Myriad Risk Manager,"The Myriad Risk Manager product helps facilitate property inspections between insurance carrier and 3rd party inspection companies and controls underwriting workflow. Moreover, Myriad looks to provide aggregation, integration and archival with each Risk Manager implementation",89,0,N/A
Omgeo TradeSuite Confirm Archive,"TradeSuite Confirm Archive is Omgeoâ€™s web-based, self-service system that enables broker/dealers, investment managers, agent banks and interested parties to retrieve confirmations that have been electronically stored by Omgeo. It replaces a firmâ€™s current trade confirmation storage method with an efficient process that reduces the administrative burden associated with trade confirmation archiving.",90,,
Omgeo TradeSuite Web,Omgeo TradeSuite is web based produc to replace the locally installed (and dated) Confirm/Affirm and NearMatch applications. The life cycle event where two trade counterparties communicate and agree upon the economic details of a trade in order to achieve settlement.,91,,
Paybase v9.2,"Paybase is a product from Bottomline Technologies that is used to print standalone, manual checks for AFT",91,,
PEPM - PerformanceEdge Performance Management,This is the replacement for AIMCALL. The PerformanceEdgeÂ® performance management capability (the product) analyzes and reports on data from one or several data sources and provides a complete picture of contact center performance.,92,,N/A
Perceptyx Employee Engagement,"Provides facilities for survey creation, invitation, completion and detailed reporting / analysis.",93,,
Pitney Bowes DFWorks v2.11,"To manage postage accounting funds management, piece level tracking, SLA management, operator and machine performance in OPCs.",94,,N/A
Polk VIN Decoder,SaaS tool that will provide extensive vehicle information beyond what the Allstate VIN service will be able to provide as of August 2014. Meets critical business need to reduce average time of arrival.,95,,
Power Monitoring Expert (Data Center) v7.2,This application logs power data from 600+ different data censors in the Rochelle Data center.,96,,
PowerSCADA v7.2,"This application allows viewing of historical power data logged from the Power Manager Expert (data center) application, in graphical form.",97,,
Process Shipper v6.3.7,A component being shipped with EFI Pace which will work in tandem with that Print MIS product. Process Shipper integrates with EFI and provides up-to-date shipping costs for any particular print run's output.,98,,N/A
Proficio,Archive collection management software,99,,
Protect it or Lose it Microsite,This is a short-term marketing microsite ?that is available to the public. It collects users name and email only and enters them into a sweepstakes.,1,,
Protective Website,"Externally hosted, Agents and Financial specialists use the Protective Website for selling and servicing Protective life and retirement products",100,0,
Pru/SE2,"Externally hosted, Agents and Financial specialists use the site for servicing Prudential inforce managed variable annuities. These policies were sold to Prudential as a block when AF sold off its VA business to Prudential. Agents can link from AccessAllstate.com over to this site.",101,,N/A
PureShare ActiveMetrics,Software as aservice - Cloud based solution that connects to ServiceNow,1,,
PureShare MetricsBridge,Software as aservice - Cloud based solution that connects to ServiceNow,102,,N/A
Quantitative Risk Management,A vended tool used by Asset Liability Management (ALM) area to model the risk (primarily on Annuities at this time),102,,N/A
RCT ExpressLync v4.0,"Introduce the RCT Tool that will allow agents to estimate replacement cost on homes at all levels. The tool will provide property pre-fill and real-time, web-based RCTcapability, and improved High Value replacement cost estimates.",103,,
Real-Time Services,Includes data services and real-time validation services to help grow our existing Phone number & email address list and ensure improved quality of email addresses on file and tag phone numbers as cell-phone numbers.,104,0,
Relativity (eDiscovery Platform) v8.2,"Relativity is a feature-rich e-discovery platform, Relativity provides complete processing capabilities, image and native file review, diverse coding options, flexible workflows, integrated productions, foreign language support, text analytics, and visual data analysis. It's your e-discovery workhorse",105,,
Replicon Web Timesheet,This is a bridging solution to continue with Replicon while we develop or longer-term strategy.,106,,
Residential Component Technology (RCT) v3.4,*****Possible Duplicate; Investigating***** Calculates the replacement values for any style of home.,107,0,
Ricoch TRAC v3.5,"TRAC Solution centralizes and automates the tracking, monitoring of service requests and management of assets and processes â€” enabling you to increase efficiency, enhance communication, optimize costs, and ultimately produce better results for your business",108,0,
Ricoh Equitrac Office v5,"Provides tracking of activity at all Ricoh print devices, enables authentication-only printing and 'FollowMe/Pull' printing",109,0,
Ringtail Legal Application Suite - Law & Req,"A suite of applications concerned with the collection, storage, organization, annotation and preparation of documents associated with legal cases in Law and regulation",110,,
Ringtail Legal Applications,"The Attenex and Ringtail suite of products provide a legal review tool that leads to increased efficiency, effectiveness and consistency when executing the response management process. This ultimately leads to decreased time and cost. Includes Ringtail - OCR Crawler, Ringtail - RPF Supervisors, Ringtail - Tiff on Fly Management Console, Ringtail - Tiff on Fly Processing Server, Ringtail Agent, Ringtail Legal, and Ringtail Processing Framework (RPF) Coordinator.",111,0,N/A
Risk Analytics,Analytics is the SaaS vendor that hosts NAIC SERFF web site to enable Allstate to automate and accelerate the regulatory filing process,111,0,N/A
RSA Archer SmartSuite,"Archer is the Governance, Risk, and Compliance Suite for the Enterprise. It contains the following components: Policy Management, Risk Management, Enterprise Management, Incident Management, Threat Management and Compliance Management",112,0,
Sabre Red Workspace,"The Concur platform sits on top of Sabre to book reservations. Sabre provides basically the same data that we can get in Concur, but in the native format vs. using the GUI interface",113,0,
SAP,Entry that represents all SAP products. Also used as a charge back entry for the SAP system as a whole.,114,,
SAP - Materials Management,"Provides procurement and inventory functions for the professional purchaser and includes a wide variety of tools and techniques to support requisition to fulfillment. Functions include requisition and purchase order creation, inventory management, reorder point processing, etc. There is a strong link between Materials Management, Warehouse Management, and Logistics Invoice Verification (A/P component).",1,0,
SAP - Sales and Distribution,"SAP Sales and Distribution is used to manage sales-side transactions; traditionally used to record orders to customers. At Allstate, SD is used to track orders for Marketing Collateral from producers. SD functionality includes customer masters (in SAP A/R), order processing, backorder management, delivery processing and sales order reporting. Links to Internet Sales Application, Materials Management, and Warehouse Management.",115,0,
SAP - Supplier Relationship Management (SRM),SAP Supplier Relationship Management provides a platform for purchasing functions from requisition to fulfollment,115,,
SAP Bank Communication Management,supports the communication of financial transactions of a company to its banks via direct Bank integration or SWIFT network.,115,,N/A
SAP BEx Analyzer,The Business Explorer Analyzer (BEx Analyzer) is the analysis and reporting tool of the Business Explorer suite that is embedded in Microsoft Excel,115,,
SAP BPC-EPM Add-in for Microsoft Office v10.0,"The EPM Add-in is an add-in to Microsoft Office Excel, Word, and PowerPoint and is used to analyze and update data ( via BPC Web Service connection) in the SAP Business Planning and Consolidations (BPC) module, SAP NetWeaver BW InfoProviders and other SAP EPM suite modules.",115,,N/A
SAP Business Planning and Consolidation (BPC),SAP BPC suite includes SAP BusinessObjects Planning and SAP BusinessObjects Consolidation modules - SAP NetWeaver version.,115,,
SAP Business Warehouse,"SAP Netweaver Business Warehouse is comprise of ETL, analytical, reporting and Data Warehousing (DW) solutions, which is one of the major enterprise software applications produced by SAP AG. SAP BI BW consists among other things of components for data management (Data Warehousing Workbench), extensive data modeling capabilities, an embedded analytical engine referred to as Business Explorer (BEx).",115,,
SAP Cash and Liquidity Management,"SAP Cash and Liquidity Management is part of the SAP ERP Financials suite. It provides three basic functions: transfers all cash-relevant information from internal and external sources into the cash management system (inbound data), performs analysis and reporting of current and future cash flows to help to make cash management decisions (analysis and decision), communicates with banks and other business partners based on the results of the decision process (outbound data).",115,,
SAP Collections and Disbursements for Insurance,"The Collections/Disbursements for Insurance performs all collection and disbursement tasks across different lines of business. These tasks include open item accounting, payment processing, incoming payment processing, correspondence, and dunning. You can also map broker accounting and coinsurance business.",115,,
SAP Content Server,Content repository for SAP archiving,115,,
SAP CRM Employee Interaction Center (EIC),SAP CRM Employee Interaction Center combines HR help desk functionality with customer relationship management.,115,0,
SAP Enterprise Resource Planning,"SAP's enterprise-wide transaction system designed to coordinate resources, information, and activities needed to complete business processes such as financial accounting or human capital management",115,0,N/A
